food_code,food_name,food_type,veg_flag,cuisine_region,meal_slots,search_alias,energy_kcal,protein_g,carb_g,fat_g,fibre_g,calcium_mg,iron_mg,magnesium_mg,sodium_mg,potassium_mg,cholesterol_mg,servings_unit,serving_grams,unit_serving_energy_kcal
ASC134,Vegetable chowmein,dish,veg,Indo-Chinese,"lunch, dinner",,129.71,3.07,15.44,6.36,1.86,28.33,0.99,21.67,258.47,201.59,0.0,plate,299.6,388.6
ASC135,Chicken chowmein,dish,non-veg,Indo-Chinese,"lunch, dinner",,151.33,6.33,13.3,8.23,1.64,26.1,0.89,21.81,288.15,225.32,10.73,plate,300.0,453.99
ASC136,Cheese noodle ring,dish,veg,Indo-Chinese,"lunch, dinner",,133.67,6.22,13.96,6.12,1.27,99.3,0.79,20.45,241.96,176.93,55.67,plate,300.0,401.01
ASC137,Spaghetti and cheese balls in tomato sauce,condiment,veg,Continental,"breakfast, lunch, high tea, dinner",,508.32,2.41,7.82,52.08,0.59,40.59,0.32,8.73,104.14,68.28,3.83,plate,300.0,1524.96
ASC138,Penne platter,dish,veg,Continental,"lunch, dinner",,177.4,5.04,20.87,8.71,1.09,67.67,0.9,21.93,283.37,202.22,2.29,plate,261.5,463.9
ASC139,Pasta hot pot,dish,veg,Continental,"lunch, dinner",,125.17,5.84,11.6,6.47,0.8,55.28,0.82,17.09,231.17,215.22,27.19,plate,300.0,375.51
ASC140,Chicken lasagne,dish,non-veg,Continental,"lunch, dinner",,187.49,10.45,13.9,10.36,0.11,119.98,0.64,18.11,238.55,176.85,50.38,plate,300.0,562.47
ASC141,Fettuccine with spinach sauce,condiment,veg,Continental,"breakfast, lunch, high tea, dinner",,129.21,3.1,12.19,7.83,0.77,53.67,1.28,34.19,153.59,247.35,10.29,plate,300.0,387.63
ASC142,Naan,dish,veg,North Indian,"lunch, dinner",,286.45,8.05,51.75,4.99,1.91,88.01,1.29,27.53,326.11,166.24,10.15,naan,53.2,152.3
ASC143,Bhatura,dish,veg,Pan-Indian,"lunch, dinner",,793.2,1.63,10.73,82.56,0.38,12.12,0.33,4.89,28.3,30.07,0.38,bhatura,145.6,1154.61
ASC144,Idli,dish,veg,South Indian,breakfast,,137.54,4.64,28.18,0.33,2.31,8.0,0.68,25.44,100.83,158.13,0.0,idli,25.1,34.47
ASC146,Masala dosa,condiment,veg,South Indian,"breakfast, lunch, high tea, dinner",,164.58,3.29,19.57,7.84,2.52,15.58,0.79,26.62,191.28,271.77,0.0,dosa,209.7,345.08
ASC147,Semolina dosa (Suji/Rava dosa),dish,veg,South Indian,breakfast,Suji/Rava dosa,227.05,7.3,32.84,7.12,4.04,116.04,1.39,28.14,202.36,254.06,4.59,dosa,73.4,166.69
ASC148,Onion tomato uttapam,dish,veg,South Indian,breakfast,,462.02,1.91,11.32,45.3,1.26,5.82,0.36,12.35,143.53,90.2,0.0,uttapam,139.5,644.32
ASC149,Paneer kaathi roll,dish,veg,North Indian,"high tea, lunch, dinner",,285.94,6.92,20.1,19.55,2.4,101.66,1.42,29.55,221.03,130.5,30.84,kaathi roll,148.3,424.15
ASC150,Makki ki roti,dish,veg,North Indian,"lunch, dinner",,263.97,3.49,24.19,16.85,5.19,14.76,1.11,53.51,236.22,152.79,39.07,roti,85.0,224.37
ASC151,Washed moong dal (Dhuli moong ki dal),dish,veg,Pan-Indian,"lunch, dinner",Dhuli moong ki dal,50.0,2.68,5.91,1.68,1.17,8.48,0.64,19.19,150.64,151.48,0.0,bowl,250.0,125.0
ASC152,Washed urad dal (Dhuli urad ki dal),dish,veg,Pan-Indian,"lunch, dinner",Dhuli urad ki dal,61.32,2.51,5.84,2.98,1.53,10.24,0.72,21.32,142.21,143.16,0.0,bowl,250.0,153.3
ASC153,Split bengal gram with bottle gourd (Channa dal with ghiya/lauki),dish,veg,North Indian,"lunch, dinner",Channa dal with ghiya/lauki,73.25,2.79,7.1,3.6,2.72,14.33,0.99,21.16,149.47,183.95,0.0,bowl,250.0,183.12
ASC154,Dry washed urad,dish,veg,Pan-Indian,"lunch, dinner",,124.71,6.85,15.66,3.5,4.06,27.08,1.89,57.16,295.79,384.33,0.0,bowl,143.2,178.59
ASC155,Mixed dal,dish,veg,Pan-Indian,"lunch, dinner",,61.93,2.51,5.79,3.1,1.62,11.0,0.78,19.72,141.36,144.27,0.0,bowl,250.0,154.82
ASC156,Whole moong (Moong ki dal),dish,veg,Pan-Indian,"lunch, dinner",Moong ki dal,53.7,2.25,5.22,2.56,2.02,13.58,0.68,22.53,123.86,149.16,0.0,bowl,250.0,134.25
ASC157,Whole masoor (Masoor ki dal),dish,veg,Pan-Indian,"lunch, dinner",Masoor ki dal,54.05,2.28,5.37,2.52,1.98,12.2,0.95,12.74,123.72,112.96,0.0,bowl,250.0,135.12
ASC158,Whole moth (Moth ki dal),dish,veg,Pan-Indian,"lunch, dinner",Moth ki dal,55.0,2.01,5.74,2.62,1.85,18.98,0.95,23.14,125.08,164.84,0.0,bowl,250.0,137.5
ASC159,Whole urad (Urad ki dal),dish,veg,Pan-Indian,"lunch, dinner",Urad ki dal,53.8,2.21,5.05,2.62,2.32,13.07,0.78,21.91,126.12,141.57,0.0,bowl,250.0,134.5
ASC160,Moti mahal dal (Urad rajmah mix dal),dish,veg,North Indian,"lunch, dinner",Urad rajmah mix dal,103.13,3.93,8.74,5.66,3.38,38.13,1.05,33.51,157.61,246.09,1.92,bowl,250.0,257.82
ASC161,Black channa curry/Bengal gram curry (Kale chane ki curry),dish,veg,North Indian,"lunch, dinner",Kale chane ki curry; Bengal gram curry,140.68,5.67,14.11,6.61,7.99,53.87,2.43,55.36,358.63,388.59,0.0,bowl,119.9,168.7
ASC162,Chickpeas curry (Safed channa curry),dish,veg,North Indian,"lunch, dinner",Safed channa curry,163.43,6.1,19.98,6.84,4.73,30.61,1.82,35.09,357.99,334.3,0.0,bowl,119.9,195.99
ASC163,Lobia curry,dish,veg,Pan-Indian,"lunch, dinner",,148.99,6.06,17.88,5.62,4.57,36.8,2.21,68.62,355.41,465.14,0.0,bowl,119.9,178.67
ASC164,Soyabean curry,dish,veg,Pan-Indian,"lunch, dinner",Nutrella ki sabzi,163.28,10.43,6.76,10.19,7.34,65.13,2.79,62.61,352.69,563.45,0.0,bowl,119.9,195.8
ASC165,Kidney bean curry (Rajmah curry),dish,veg,North Indian,"lunch, dinner",Rajmaa ,143.73,5.95,16.38,5.77,5.83,47.87,2.27,58.61,354.6,485.9,0.0,bowl,119.9,172.36
ASC167,Sambar,dish,veg,South Indian,"lunch, dinner",,96.92,3.35,10.57,4.38,3.52,30.24,1.24,32.16,159.54,298.29,0.0,bowl,250.0,242.3
ASC168,Besan kadhi with pakodies,dish,veg,North Indian,"lunch, dinner",Kadhi,403.35,1.64,3.56,42.59,0.81,24.53,0.38,8.75,60.8,70.21,0.94,bowl,250.0,1008.38
ASC169,Khatta channa,dish,veg,North Indian,"lunch, dinner",,202.57,6.3,21.14,10.56,5.26,40.77,1.94,38.76,513.32,344.78,0.0,bowl,157.1,318.15
ASC170,Sprouted moong dal chat,dish,veg,Pan-Indian,"lunch, dinner",,32.47,1.35,6.01,0.32,1.35,16.54,0.88,17.45,87.07,218.92,0.0,plate,256.5,83.3
ASC171,Potato cauliflower (Aloo gobhi),dish,veg,Pan-Indian,"lunch, dinner",Aloo gobhi/Aloo gobhi ki sabzi,106.18,1.9,5.99,8.13,3.02,22.87,1.07,25.22,254.76,378.78,0.0,bowl,175.7,186.61
ASC172,Potato capsicum (Shimla mirch aloo),dish,veg,Pan-Indian,"lunch, dinner",Shimla mirch aloo,125.53,1.41,8.72,9.33,2.02,16.45,0.86,22.01,277.92,364.15,0.0,bowl,150.8,189.24
ASC173,Cabbage and peas (Pattagobhi aur matar),dish,veg,Pan-Indian,"lunch, dinner",Pattagobhi aur matar,63.88,3.24,6.24,2.64,3.99,45.5,1.1,28.59,253.73,255.5,0.0,bowl,166.3,106.21
ASC174,Carrot and fenugreek leaves (Gajar methi),dish,veg,Pan-Indian,"lunch, dinner",Gajar methi,61.92,2.1,4.17,3.81,4.43,128.83,2.72,37.1,262.91,255.95,0.0,bowl,190.7,118.11
ASC175,Potato fenugreek (Aloo methi),dish,veg,Pan-Indian,"lunch, dinner",Aloo methi,135.15,2.25,8.47,10.04,2.93,107.8,2.53,38.24,221.93,370.24,0.0,bowl,204.2,276.04
ASC177,Brinjal bhartha (Baingan ka bhartha),dish,veg,Pan-Indian,"lunch, dinner",Baingan ka bhartha,65.12,1.38,4.4,4.48,3.27,17.85,0.48,20.02,132.15,222.05,0.0,bowl,250.0,162.8
ASC178,Dry potato (Sookhe aloo),dish,veg,Pan-Indian,"lunch, dinner",Sookhe aloo,103.15,1.62,14.38,4.18,1.88,17.2,0.83,26.89,199.99,531.41,0.0,bowl,105.7,109.08
ASC179,Beans with coconut (Nariyal aur sem/phali; Beans thoran),dish,veg,South Indian,"lunch, dinner",Nariyal aur sem/phali; Beans thoran,131.63,2.62,4.39,11.39,5.59,51.92,1.34,40.93,271.65,336.81,0.0,bowl,149.5,196.84
ASC180,Cauliflower with coconut (Nariyal ke saath phoolgobhi),dish,veg,South Indian,"lunch, dinner",Nariyal ke saath phoolgobhi,132.11,2.64,3.99,11.56,5.27,35.37,1.33,32.97,286.06,344.84,0.0,bowl,149.5,197.56
ASC181,Carrot and cabbage with coconut (Nariyal ke saath pattagobhi aur gajar),dish,veg,South Indian,"lunch, dinner",Nariyal ke saath pattagobhi aur gajar,106.61,1.82,4.99,8.62,4.52,48.63,0.84,26.35,219.6,278.73,0.0,bowl,199.5,212.74
ASC182,Raw turnip with coconut ,dish,veg,South Indian,"lunch, dinner",,132.15,1.8,5.78,11.47,2.79,50.65,0.82,22.89,275.55,312.07,0.0,bowl,149.5,197.61
ASC183,Raw papaya with coconut (Papaya thoran),dish,veg,South Indian,"lunch, dinner",Papaya thoran,132.75,1.54,5.58,11.42,4.31,33.74,0.82,27.59,270.56,240.52,0.0,bowl,149.5,198.51
ASC184,Stuffed okra (Bharwa bhindi),dish,veg,Pan-Indian,"lunch, dinner",Bharwa bhindi,94.34,2.08,3.85,7.66,4.15,86.89,1.18,64.47,210.03,265.83,0.0,bowl,110.5,104.25
ASC185,Stuffed round gourd (Bharwa tinde),dish,veg,Pan-Indian,"lunch, dinner",Bharwa tinde,72.8,1.1,4.02,5.75,2.1,20.21,0.59,18.75,180.15,132.68,0.0,bowl,248.2,180.72
ASC186,Stuffed capsicum (Bharwa shimla mirch),dish,veg,Pan-Indian,"lunch, dinner",Bharwa shimla mirch,90.94,1.34,8.26,5.7,2.01,15.17,0.61,18.8,173.94,312.57,0.0,capsicum,125.5,114.13
ASC187,Stuffed brinjal (Bharwa baingan),dish,veg,Pan-Indian,"lunch, dinner",Bharwa baingan,93.0,1.53,3.96,7.73,4.09,24.37,0.75,23.6,212.88,250.79,0.0,brinjal,55.4,51.5
ASC189,Stuffed tomatoes (Bharwa tamatar),dish,veg,Pan-Indian,"lunch, dinner",Bharwa tamatar,93.35,3.28,6.19,6.06,2.2,59.16,0.62,18.83,165.85,202.88,0.0,tomato,135.5,126.49
ASC190,Pea potato curry (Aloo matar),dish,veg,Pan-Indian,"lunch, dinner",Aloo matar,100.92,3.48,9.74,5.13,3.61,21.1,1.02,27.53,154.83,274.26,0.0,bowl,250.0,252.3
ASC191,Pea paneer curry (Matar paneer),dish,veg,North Indian,"lunch, dinner",Matar paneer,134.83,6.61,9.29,7.75,3.3,105.2,1.08,27.99,157.34,188.18,0.0,bowl,250.0,337.07
ASC192,Pea mushroom curry (Matar mushroom),dish,veg,Pan-Indian,"lunch, dinner",Matar mushroom,93.3,3.87,7.41,5.16,3.86,22.7,0.97,26.49,155.48,234.06,0.0,bowl,250.0,233.25
ASC193,Pea curry (Matar ki sabzi),dish,veg,Pan-Indian,"lunch, dinner",Matar ki sabzi,102.99,4.51,9.2,5.11,4.44,24.48,1.2,30.42,154.75,221.62,0.0,bowl,250.0,257.48
ASC194,Pea vadi curry,dish,veg,Pan-Indian,"lunch, dinner",,101.95,4.64,8.9,5.08,4.28,23.62,1.2,30.16,149.51,216.1,0.0,bowl,250.0,254.88
ASC195,Paneer curry,dish,veg,North Indian,"lunch, dinner",,176.52,7.8,8.4,12.38,1.4,189.06,0.81,21.83,216.09,142.72,0.0,bowl,202.3,357.15
ASC196,Lotus stem curry (Kamal kakdi curry),dish,veg,Pan-Indian,"lunch, dinner",Kamal kakdi curry,110.34,1.53,9.24,7.25,3.14,26.59,1.71,21.82,217.05,345.65,0.0,bowl,202.3,223.25
ASC197,Gravy for kofta,dish,veg,Pan-Indian,"lunch, dinner",,125.59,1.75,6.31,10.35,1.96,39.65,0.75,19.19,312.86,199.42,1.18,bowl,139.2,174.88
ASC198,Pea kofta curry (Matar kofta curry),dish,veg,Pan-Indian,"lunch, dinner",Matar kofta curry,595.66,2.01,4.17,63.39,1.7,13.84,0.56,12.23,83.07,88.85,0.21,bowl,250.0,1489.15
ASC199,Spinach kofta curry (Palak kofta curry),dish,veg,Pan-Indian,"lunch, dinner",Palak kofta curry,571.78,1.09,3.56,61.49,0.92,29.31,0.83,20.78,104.51,158.65,0.2,bowl,250.0,1429.45
ASC200,Paneer kofta curry,dish,veg,North Indian,"lunch, dinner",,670.91,2.39,3.27,72.06,0.4,59.49,0.34,7.07,121.72,48.29,0.24,bowl,250.0,1677.28
ASC201,Lotus stem kofta curry (Kamal kakdi kofta curry),dish,veg,Pan-Indian,"lunch, dinner",Kamal kakdi kofta curry,633.56,0.96,5.01,67.76,1.01,19.31,0.65,7.8,108.61,109.38,0.23,bowl,250.0,1583.9
ASC202,Raw banana kofta curry (Kela kofta curry),dish,veg,Pan-Indian,"breakfast, lunch, dinner",Kela kofta curry,627.27,0.62,3.4,67.98,0.59,9.23,0.28,6.84,88.4,71.35,0.23,bowl,250.0,1568.17
ASC203,Cauliflower kofta curry (Phoolgobhi kofta curry),dish,veg,Pan-Indian,"lunch, dinner",Phoolgobhi kofta curry,641.1,1.04,2.62,69.62,1.0,12.26,0.4,7.82,93.65,82.16,0.23,bowl,250.0,1602.75
ASC204,Cabbage kofta curry (Pattagobhi kofta curry),dish,veg,Pan-Indian,"lunch, dinner",Pattagobhi kofta curry,639.81,0.98,2.87,69.4,0.9,15.46,0.34,7.32,92.85,72.21,0.23,bowl,250.0,1599.53
ASC205,Ghiya/Lauki Kofta Curry,dish,veg,Pan-Indian,"lunch, dinner",Lauki Kofta Curry,638.71,0.89,2.71,69.4,0.83,11.64,0.33,6.58,91.43,60.75,0.23,bowl,250.0,1596.78
ASC206,Spinach paneer kofta curry (Palak paneer kofta curry),dish,veg,North Indian,"lunch, dinner",Palak paneer kofta curry,606.03,1.43,2.94,65.41,0.75,37.71,0.68,16.59,99.37,125.1,0.22,bowl,250.0,1515.08
ASC207,Vegetarian egg kofta curry,dish,egg,Pan-Indian,"lunch, dinner",,627.41,1.33,4.26,67.24,0.64,28.39,0.39,8.05,95.89,104.04,0.22,bowl,250.0,1568.53
ASC208,Baked vegetables,dish,veg,Pan-Indian,"lunch, dinner",,88.99,3.67,8.44,4.44,2.34,80.2,0.62,19.93,124.7,221.88,8.27,bowl,250.0,222.47
ASC209,Cauliflower musallam (Phoolgobhi musallam),dish,veg,Pan-Indian,"lunch, dinner",Phoolgobhi musallam,58.83,1.89,4.48,3.55,3.06,24.61,0.83,20.87,123.36,266.34,0.0,bowl,216.0,127.05
ASC210,Baked vegetables with spinach ,dish,veg,Pan-Indian,"lunch, dinner",,77.79,3.22,6.93,4.03,2.33,78.63,1.16,35.62,122.85,314.32,6.55,bowl,250.0,194.47
ASC211,Baked potato with skin ,dish,veg,Pan-Indian,"lunch, dinner",,135.77,3.43,11.11,8.5,1.2,90.06,0.5,21.18,354.5,392.71,21.72,bowl,78.4,106.41
ASC212,Shepherd's pie (vegetarian),dish,veg,Pan-Indian,"lunch, dinner",vegetarian,135.63,5.04,12.03,7.3,2.23,85.59,0.76,25.04,118.2,332.08,10.62,bowl,250.0,339.07
ASC213,Baked brinjal in tomato sauce,condiment,veg,Pan-Indian,"breakfast, lunch, high tea, dinner",,38.63,1.58,4.13,1.62,2.34,26.24,0.32,15.57,79.66,187.99,0.0,bowl,250.0,96.58
ASC214,Dum aloo,dish,veg,Pan-Indian,"lunch, dinner",,682.33,0.7,3.33,74.01,0.68,16.49,0.36,8.63,183.85,119.55,0.49,bowl,250.0,1705.83
ASC215,Spinach paneer (Palak paneer),dish,veg,North Indian,"lunch, dinner",Palak paneer,77.68,4.03,4.43,4.76,1.91,113.25,1.85,54.13,166.87,386.63,0.0,bowl,250.0,194.2
ASC216,Methi chaman,dish,veg,Pan-Indian,"lunch, dinner",,475.62,1.54,2.78,50.91,0.53,60.57,0.63,12.51,54.94,115.42,0.0,bowl,250.0,1189.05
ASC217,Sarson ka saag,dish,veg,North Indian,"lunch, dinner",,87.84,3.0,5.33,5.86,3.69,134.41,2.43,55.11,165.45,399.56,13.24,bowl,141.5,124.26
ASC218,Jackfruit sabzi (Kathal ki sabzi),dish,veg,Pan-Indian,"lunch, dinner",Kathal ki sabzi,625.4,0.69,3.4,67.6,1.02,9.85,0.27,8.88,58.95,80.75,0.0,bowl,250.0,1563.5
ASC219,Avial,dish,veg,Pan-Indian,"lunch, dinner",,124.56,2.46,8.47,8.94,5.44,31.9,1.01,36.4,81.5,378.3,0.0,bowl,250.0,311.4
ASC220,Al yakhani,dish,non-veg,Pan-Indian,"lunch, dinner",,147.54,2.86,4.65,13.14,1.27,103.88,0.46,18.73,206.24,198.35,4.74,bowl,232.0,342.3
ASC221,Shahi paneer,dish,veg,North Indian,"lunch, dinner",,156.5,5.06,6.64,12.34,1.4,125.38,0.62,18.29,215.35,170.6,23.7,bowl,250.0,391.25
ASC222,Paneer in butter sauce,condiment,veg,North Indian,"breakfast, lunch, high tea, dinner",Paneer Butter Masala,145.61,6.99,9.7,8.81,1.5,170.59,0.85,23.01,151.45,158.34,9.9,bowl,156.8,228.3
ASC223,Methi malai paneer,dish,veg,North Indian,"lunch, dinner",,194.98,7.34,8.15,14.76,1.47,183.96,0.77,22.08,221.16,125.72,7.11,bowl,193.4,377.04
ASC224,Chilli paneer,dish,veg,Indo-Chinese,"lunch, dinner",,777.51,2.1,3.31,84.01,0.5,42.9,0.36,8.81,89.04,54.25,0.34,bowl,250.0,1943.78
ASC225,Paneer makhana korma,dish,veg,North Indian,"lunch, dinner",,775.82,3.24,4.63,82.76,0.21,72.89,0.55,20.51,77.01,95.39,1.58,bowl,250.0,1939.55
ASC226,Kadhai Paneer,dish,veg,North Indian,"lunch, dinner",,107.99,4.33,7.34,6.81,2.07,91.53,0.65,22.4,144.33,290.81,0.0,bowl,250.0,269.98
ASC227,Roghan josh,dish,non-veg,Pan-Indian,"lunch, dinner",,139.59,9.56,4.93,9.02,2.08,112.33,1.77,21.0,204.31,294.04,1.4,bowl,236.0,329.44
ASC228,Spinach mutton (Palak mutton),dish,non-veg,Pan-Indian,"lunch, dinner",Palak mutton,80.32,5.74,3.45,4.71,2.23,96.88,2.38,54.93,121.1,464.28,0.68,bowl,250.0,200.8
ASC229,Pea keema curry (Matar keema ki sabzi),dish,non-veg,Pan-Indian,"lunch, dinner",Matar keema ki sabzi,133.0,8.43,6.24,8.14,2.96,35.6,1.35,27.29,148.38,252.63,22.87,bowl,250.0,332.5
ASC230,Keema kofta curry,dish,non-veg,Pan-Indian,"lunch, dinner",,154.45,9.77,5.64,10.39,1.51,49.89,1.25,22.07,311.51,251.56,57.79,kofta,41.3,63.82
ASC231,Kashmiri mutton koftas (Gushtaba),dish,non-veg,Pan-Indian,"lunch, dinner",Gushtaba,97.42,6.33,3.04,6.77,0.62,52.53,0.85,15.88,130.11,171.55,25.31,gushtaba,200.0,194.84
ASC232,Mutton yakhni,dish,non-veg,Pan-Indian,"lunch, dinner",,104.13,8.27,0.84,7.7,0.67,88.61,1.66,8.54,101.02,154.3,0.0,bowl,232.1,241.73
ASC233,Chicken yakhni,dish,non-veg,Pan-Indian,"lunch, dinner",,99.0,10.66,0.78,6.1,0.62,28.24,0.93,17.47,97.38,175.38,29.29,bowl,250.0,247.5
ASC234,Mutton do piaza,dish,non-veg,Pan-Indian,"lunch, dinner",,183.3,9.39,4.14,14.41,1.93,118.61,1.63,18.38,118.62,240.92,77.86,bowl,250.0,458.25
ASC236,Mutton chops,dish,non-veg,Pan-Indian,"lunch, dinner",,663.64,4.03,1.48,71.31,0.17,36.18,0.64,2.32,51.03,70.56,13.32,chop,180.0,1194.55
ASC237,Shammi kebab,dish,non-veg,Pan-Indian,"lunch, dinner",,685.69,4.52,3.54,72.61,1.05,13.11,0.75,11.03,54.27,110.92,24.6,kabab,171.2,1173.95
ASC238,Scotch egg,dish,egg,Continental,"lunch, dinner",,676.89,4.05,1.91,72.62,0.36,15.03,0.6,6.8,90.67,72.34,48.59,piece,342.5,2318.05
ASC239,Shepherd's pie (with minced meat),dish,non-veg,Continental,"lunch, dinner",with minced meat,142.78,7.45,8.06,8.88,1.05,21.3,0.84,20.37,197.25,357.88,33.31,dish,187.6,267.88
ASC240,Chicken curry,dish,non-veg,Pan-Indian,"lunch, dinner",,129.22,11.79,3.38,7.57,1.41,27.29,0.87,21.89,108.0,253.49,31.25,bowl,247.9,320.38
ASC241,Tandoori chicken,dish,non-veg,North Indian,"lunch, dinner",,145.2,16.26,2.34,7.93,0.5,44.33,0.9,22.02,158.0,287.21,44.25,chicken,200.0,290.4
ASC242,Butter chicken,dish,non-veg,North Indian,"lunch, dinner",,137.0,10.92,3.74,8.7,1.32,25.28,0.92,23.27,26.21,319.53,39.26,large piece,275.2,377.04
ASC243,Chicken kebab,dish,non-veg,Pan-Indian,"lunch, dinner",,729.41,3.71,1.11,78.89,0.21,3.46,0.28,5.24,69.76,62.67,9.94,kabab,123.9,903.73
ASC244,Chilli chicken,dish,non-veg,Indo-Chinese,"lunch, dinner",,198.83,9.57,2.86,16.56,0.99,12.97,0.66,16.48,223.75,207.3,23.87,bowl,250.0,497.07
ASC245,Fried chicken with tomato sauce (Fried chicken tamatar ki chutney kay saath),condiment,non-veg,Pan-Indian,"breakfast, lunch, high tea, dinner",Fried chicken tamatar ki chutney kay saath,125.03,11.48,2.51,7.61,1.13,16.09,0.64,17.77,107.56,242.34,31.09,piece,123.8,154.73
ASC246,Fish curry (Machli curry),dish,non-veg,Pan-Indian,"lunch, dinner",Machli curry,111.13,8.76,3.77,6.69,1.89,52.06,1.09,24.11,184.71,241.98,19.22,bowl,250.0,277.82
ASC247,Fried fish (Indian style) (Tali hui machli),dish,non-veg,Pan-Indian,"lunch, dinner",Indian style; Tali hui machli,658.54,4.35,5.4,68.88,0.61,11.11,0.56,10.23,156.94,75.49,6.57,piece,353.5,2327.95
ASC248,Fried fish and Chips (English Style) (Tali hui machli aur chips),dish,non-veg,Pan-Indian,"lunch, dinner",English Style; Tali hui machli aur chips,651.75,3.36,2.77,69.69,0.29,6.56,0.26,8.05,72.73,90.72,12.51,fillet,180.0,1173.15
ASC249,Tomato fish,dish,non-veg,Pan-Indian,"lunch, dinner",,489.79,2.39,3.18,51.91,0.72,6.46,0.24,9.64,91.47,115.54,5.17,bowl,250.0,1224.47
ASC250,Baked fish with cheese sauce,condiment,non-veg,Pan-Indian,"breakfast, lunch, high tea, dinner",,113.96,8.64,4.06,7.02,0.08,115.64,0.26,16.84,209.48,158.51,21.37,bowl,250.0,284.9
ASC251,Fish tikka,dish,non-veg,Pan-Indian,"lunch, dinner",,117.33,16.0,3.91,4.15,1.18,31.98,1.41,35.5,503.44,296.43,32.73,piece,35.5,41.65
ASC252,Tandoori fish,dish,non-veg,North Indian,"lunch, dinner",,95.98,11.19,2.37,4.64,0.58,37.27,0.46,24.8,123.94,226.36,23.41,piece,233.6,224.23
ASC253,"Paneer, apple and pineapple salad",dish,veg,Continental,"lunch, dinner",,95.08,3.88,8.35,5.07,1.65,103.05,0.84,22.73,176.63,185.05,6.52,bowl,250.0,237.7
ASC254,Russian salad,dish,veg,Continental,"lunch, dinner",,114.83,4.26,6.5,7.84,2.57,34.92,1.23,24.52,101.09,254.54,64.49,bowl,250.0,287.07
ASC255,Pasta salad,dish,veg,Continental,"lunch, dinner",,190.36,4.15,12.7,13.92,0.96,66.74,0.81,20.16,152.31,162.16,12.7,bowl,215.7,410.7
ASC256,Deviled egg,dish,egg,Continental,"lunch, dinner",,98.56,4.97,2.23,7.72,1.15,36.84,1.51,21.3,117.29,185.41,118.13,egg,159.8,157.45
ASC257,Hawain salad,dish,veg,Continental,"lunch, dinner",,175.23,4.27,14.35,11.37,3.93,61.03,1.12,27.74,64.92,204.64,4.24,bowl,250.0,438.07
ASC258,Mixed pulse and vegetable salad,dish,veg,Pan-Indian,"lunch, dinner",,83.12,4.74,13.96,0.84,2.96,51.63,2.13,49.99,127.78,442.65,0.0,bowl,169.9,141.23
ASC259,Sprouted moong salad ,dish,veg,Pan-Indian,"lunch, dinner",,37.81,2.29,5.48,0.74,0.95,54.56,1.45,22.92,116.38,254.18,1.62,bowl,203.7,77.03
ASC260,Tossed salad,dish,veg,Pan-Indian,"lunch, dinner",,62.96,1.02,4.95,4.22,2.15,32.37,0.86,17.76,77.5,232.98,0.0,bowl,250.0,157.4
ASC261,Mixed vegetable salad with curd sauce,condiment,veg,Pan-Indian,"breakfast, lunch, high tea, dinner",,60.28,4.23,7.03,1.5,3.79,65.51,1.35,32.94,116.66,267.24,4.09,bowl,215.4,129.86
ASC262,Potato salad (Aloo ka salaad),dish,veg,Pan-Indian,"lunch, dinner",Aloo ka salaad,89.91,1.4,11.19,4.4,1.32,25.61,0.99,21.31,125.01,347.45,0.0,bowl,236.0,212.18
ASC263,Waldroff salad,dish,veg,Continental,"lunch, dinner",,141.75,1.47,11.02,10.05,1.87,29.29,1.07,19.23,13.42,192.86,9.87,bowl,246.5,349.42
ASC264,Coleslaw,dish,veg,Continental,"lunch, dinner",,76.71,1.24,5.59,5.32,2.34,37.0,0.63,13.13,29.87,207.7,6.42,bowl,152.5,116.99
ASC265,Fruit salad (Phalon ka salaad),dish,veg,Pan-Indian,"lunch, dinner",Phalon ka salaad,78.14,0.91,15.96,1.22,1.58,25.93,0.81,17.56,7.11,178.27,2.71,bowl,250.0,195.35
ASC266,Mayonnaise,dish,veg,Continental,"lunch, dinner",,774.86,1.86,1.65,84.52,0.11,15.36,0.51,3.69,272.89,23.47,117.12,1 katori,150.0,1162.29
ASC267,Low calorie quick mayonnaise,dish,veg,Continental,"lunch, dinner",,242.89,1.41,4.71,24.35,0.06,6.47,0.25,2.55,165.94,19.66,35.67,1 katori,150.0,364.34
ASC268,Thousand island dressing,condiment,veg,Continental,"breakfast, lunch, high tea, dinner",,407.87,1.37,4.49,42.87,0.46,9.11,0.45,6.67,946.1,97.94,34.0,1 katori,150.0,611.8
ASC269,Tomato onion raita (Tamatar aur pyaaz ka raita),dish,veg,Pan-Indian,"lunch, dinner",Tamatar aur pyaaz ka raita,59.0,3.74,7.08,1.84,0.97,120.62,0.26,18.22,165.21,237.73,6.19,bowl,177.7,104.83
ASC270,Peanut raita (Mungfali ka raita),dish,veg,Pan-Indian,"lunch, dinner",Mungfali ka raita,150.39,8.59,9.3,8.98,1.89,174.6,0.74,49.52,235.83,351.78,8.97,bowl,122.7,184.48
ASC271,Sprouted moong raita ,dish,veg,Pan-Indian,"lunch, dinner",,60.89,4.62,6.13,2.19,0.16,139.44,0.86,18.57,189.2,208.77,7.21,bowl,152.7,92.97
ASC272,Bottle gourd raita (Ghiya/Lauki ka raita),dish,veg,Pan-Indian,"lunch, dinner",Ghiya/Lauki ka raita,56.31,3.98,5.76,2.07,0.85,138.26,0.23,17.56,188.37,234.32,7.21,bowl,152.7,85.96
